Date,Open,High,Low,Close,Adj Close,Volume
10/13/2023,63.130001,63.619999,61.919998,62.060001,61.03751,3012900
10/16/2023,62.740002,63.98,62.450001,63.349998,62.306252,2619900
10/17/2023,62.970001,64.709999,62.970001,63.939999,62.886532,4090700
10/18/2023,63.439999,63.669998,62.639999,63.080002,62.040703,2979600
10/19/2023,62.93,63.279999,61.68,61.919998,60.899811,3990600
10/20/2023,61.84,61.93,59.73,60.119999,59.129471,4589600
10/23/2023,59.93,59.990002,58.439999,58.490002,57.526329,8494700
10/24/2023,58.779999,59.310001,58.630001,59.209999,58.234463,5061800
10/25/2023,59.290001,59.77,58.709999,58.959999,57.988579,3735500
10/26/2023,58.970001,60.009998,58.939999,59.599998,58.618038,3139400
10/27/2023,59.540001,59.740002,57.91,58.290001,57.32962,4686900
10/30/2023,58.939999,59.639999,58.48,59.419998,58.441002,3133600
10/31/2023,59.599998,60.07,59.240002,60.009998,59.021278,2713000
11/1/2023,60,60.34,59.18,59.98,58.991776,4322600
11/2/2023,59.990002,62.259998,59.200001,60.009998,59.021278,4566800
11/3/2023,61.110001,62.400002,61.110001,61.759998,60.742447,4119200
11/6/2023,61.75,61.759998,59.75,60.43,59.434364,4459500
11/7/2023,60.150002,60.540001,59.720001,60.049999,59.060619,4113300
11/8/2023,59.48,59.860001,58.889999,59.349998,58.882038,3597700
11/9/2023,59.740002,60.009998,59.240002,59.310001,58.842358,2781300
11/10/2023,59.720001,60.549999,59.450001,60.490002,60.013054,3183800
11/13/2023,60.290001,61.25,60.259998,60.459999,59.983288,3473200
11/14/2023,61.220001,62.790001,61.16,62.41,61.917912,3880600
11/15/2023,62.57,62.900002,61.740002,61.82,61.332565,3187600
11/16/2023,61.700001,62.23,61.610001,62.029999,61.540909,3748600
11/17/2023,62.5,62.810001,62.25,62.549999,62.056808,4120800
11/20/2023,62.200001,62.98,61.849998,62.509998,62.017124,3471500
11/21/2023,62.330002,62.73,62.139999,62.25,61.759174,4447100
11/22/2023,62.360001,63.099998,62.150002,62.970001,62.473499,2614400
11/24/2023,63.189999,63.959999,63.130001,63.549999,63.048923,1614400
11/27/2023,63.279999,63.360001,62.810001,63.220001,62.721527,2903600
11/28/2023,63.18,63.630001,62.889999,63.189999,62.691761,2833400
11/29/2023,63.470001,64.050003,63.139999,63.16,62.661999,4413000
11/30/2023,63.330002,63.77,63.02,63.630001,63.128296,6240800
12/1/2023,63.389999,64.18,63.27,63.759998,63.257267,4229100
12/4/2023,63.330002,64.57,63.07,64.550003,64.041046,4201800
12/5/2023,64.129997,64.440002,63.860001,63.970001,63.465614,3112400
12/6/2023,64.25,64.910004,63.400002,63.540001,63.039005,3185400
12/7/2023,63.689999,63.889999,63.189999,63.459999,62.959633,4924100
12/8/2023,63.48,64.43,63.369999,64.089996,63.584663,3317400
12/11/2023,64.269997,65.360001,64.169998,64.940002,64.427971,3424300
12/12/2023,65.040001,65.400002,64.82,65.199997,64.685913,2902100
12/13/2023,65.199997,66.290001,64.959999,66.230003,65.707794,3961400
12/14/2023,67,67.720001,66.739998,66.900002,66.372513,4340500
12/15/2023,66.360001,67.080002,66.019997,66.360001,65.836769,8619500
12/18/2023,66.699997,66.699997,64.970001,65.220001,64.705757,5875400
12/19/2023,65.419998,66.720001,65.279999,66.400002,65.876457,4354900
12/20/2023,65.959999,66.550003,65.169998,65.220001,64.705757,3491700
12/21/2023,65.309998,65.769997,65.120003,65.589996,65.072838,3018900
12/22/2023,65.660004,66.360001,65.550003,65.860001,65.340714,2553600
12/26/2023,65.809998,66.300003,65.660004,66.239998,65.717712,1641700
12/27/2023,65.93,66.230003,65.620003,66.019997,65.499443,1702300
12/28/2023,65.82,66.419998,65.82,66.290001,65.767319,1546200
12/29/2023,66.300003,66.480003,65.879997,66.129997,65.608582,1789000
1/2/2024,66.190002,67.68,66.129997,67.349998,66.818962,3913800
1/3/2024,66.900002,67.610001,66.550003,67.120003,66.590782,3471000
1/4/2024,67.139999,68.349998,67.139999,67.489998,66.957855,3234400
1/5/2024,67.480003,68.940002,67.349998,68.919998,68.376579,4089900
1/8/2024,69,69.75,68.82,69.519997,68.971848,4609800
1/9/2024,69.010002,69.260002,68.290001,69.220001,68.674217,4806100
1/10/2024,69.400002,69.690002,68.900002,69.300003,68.753593,3268100
1/11/2024,69.099998,69.519997,68.730003,69.300003,68.753593,3505200
1/12/2024,69.68,69.989998,68.779999,68.830002,68.287292,3566100
1/16/2024,68.150002,68.349998,67.480003,68.220001,67.682106,4068100
1/17/2024,67.769997,68.559998,67.279999,67.410004,66.878494,3556100
1/18/2024,67.410004,67.879997,67.209999,67.720001,67.186043,3354500
1/19/2024,68.199997,69.040001,67.739998,68.889999,68.346817,4441900
1/22/2024,68.900002,70.050003,68.690002,69.5,68.952011,4297000
1/23/2024,69.629997,70.080002,69.190002,69.459999,68.912323,3031100
1/24/2024,69.93,70.190002,69.610001,69.68,69.130592,4346200
1/25/2024,70.260002,70.419998,69.639999,70.389999,69.834991,3345100
1/26/2024,70.669998,70.879997,70.519997,70.879997,70.321129,3397300
1/29/2024,70.620003,70.889999,69.900002,70.360001,69.805229,3762100
1/30/2024,70.25,70.910004,70.07,70.809998,70.251678,3672200
1/31/2024,70.830002,71,69.260002,69.32,68.77343,6252800
2/1/2024,66.150002,67.290001,64.860001,65.349998,64.834732,9465700
2/2/2024,65.599998,66.339996,64.760002,65.949997,65.43,4792900
2/5/2024,64.830002,66.190002,64.610001,65.809998,65.809998,5283500
2/6/2024,65.779999,66.419998,65.660004,65.959999,65.959999,3739300
2/7/2024,66.269997,67.43,66.019997,67,67,4684400
2/8/2024,66.800003,66.940002,66.18,66.75,66.75,3321900
2/9/2024,66.510002,67.669998,66.400002,67.5,67.5,5121300
2/12/2024,67.75,69.230003,67.589996,68.550003,68.550003,5088400
2/13/2024,67.910004,68.709999,67.040001,67.839996,67.839996,5071000
2/14/2024,68.239998,68.900002,68.080002,68.349998,68.349998,3704900
2/15/2024,68.730003,69.959999,68.730003,69.540001,69.540001,4044400
2/16/2024,69.209999,69.870003,68.739998,68.769997,68.769997,3575800
2/20/2024,68.169998,69.339996,68.169998,68.620003,68.620003,3271800
2/21/2024,68.830002,69.019997,68.25,68.940002,68.940002,4181200
2/22/2024,69.010002,69.519997,68.739998,68.860001,68.860001,3137100
2/23/2024,68.959999,69.879997,68.839996,69.330002,69.330002,4144500
